1	196449156
2	149539284
3	110642502
4	90861225
5	59506338
6	36220557
7	36382834
8	29578256
9	23733309
10	20453248
11	19638187
12	20119077
13	17905061
14	15331188
15	12703657
16	2706039
17	11092391
18	11623896
19	10455293
20	14265659
21	6970754
22	4686657
23	6253421
24	6478339
25	3067737
26	5349051
27	5228753
28	5437364
29	726478
30	755666
31	2457334
32	125424
33	3839931
34	3469343
35	554126
36	358375
37	157853
38	667312
39	177356
W	9109940
Z	86044486
MT	16784
MU179268.1	454552
MU179272.1	447004
MU179273.1	279492
MU179261.1	259507
MU179263.1	244274
MU179277.1	243023
MU179278.1	239848
MU179258.1	236755
MU179274.1	219221
JAENSK010000538.1	184108
JAENSK010000459.1	183934
MU179266.1	179921
JAENSK010000565.1	172381
MU179269.1	157377
JAENSK010000461.1	147375
MU179276.1	145889
MU179275.1	142519
MU179270.1	139882
MU179264.1	135931
JAENSK010000584.1	132137
JAENSK010000603.1	128647
JAENSK010000462.1	123103
JAENSK010000484.1	122554
JAENSK010000547.1	121826
JAENSK010000573.1	121294
JAENSK010000539.1	107179
MU179259.1	105159
JAENSK010000419.1	105149
JAENSK010000526.1	103662
JAENSK010000532.1	102867
JAENSK010000580.1	102453
JAENSK010000602.1	99652
MU179260.1	99000
JAENSK010000527.1	96352
JAENSK010000606.1	95042
JAENSK010000607.1	94594
MU179279.1	92785
JAENSK010000601.1	91947
MU179265.1	90962
JAENSK010000409.1	89875
MU179271.1	88251
JAENSK010000541.1	83855
MU179262.1	83545
JAENSK010000585.1	82910
JAENSK010000600.1	77924
JAENSK010000608.1	77453
JAENSK010000002.1	76880
JAENSK010000296.1	76531
JAENSK010000579.1	76213
JAENSK010000598.1	75927
JAENSK010000533.1	75790
JAENSK010000604.1	73711
JAENSK010000609.1	73086
JAENSK010000543.1	72665
JAENSK010000416.1	72078
JAENSK010000596.1	71264
JAENSK010000540.1	70535
JAENSK010000420.1	70221
JAENSK010000544.1	68472
JAENSK010000610.1	66990
JAENSK010000546.1	65185
JAENSK010000291.1	64959
JAENSK010000611.1	64784
MU179267.1	63726
JAENSK010000542.1	62949
JAENSK010000437.1	62499
JAENSK010000466.1	61860
JAENSK010000612.1	61262
JAENSK010000613.1	60993
JAENSK010000483.1	60241
JAENSK010000614.1	60148
JAENSK010000534.1	59700
JAENSK010000615.1	58765
JAENSK010000616.1	57327
JAENSK010000617.1	57283
JAENSK010000571.1	56807
JAENSK010000572.1	56774
JAENSK010000465.1	56291
JAENSK010000460.1	56170
JAENSK010000618.1	55004
JAENSK010000417.1	54963
JAENSK010000599.1	54073
JAENSK010000410.1	52746
JAENSK010000448.1	52716
JAENSK010000384.1	52620
JAENSK010000438.1	52169
JAENSK010000619.1	51700
JAENSK010000581.1	51278
JAENSK010000034.1	50781
JAENSK010000605.1	50063
JAENSK010000621.1	49896
JAENSK010000620.1	49878
JAENSK010000622.1	49236
JAENSK010000623.1	48223
JAENSK010000568.1	48159
JAENSK010000624.1	48023
JAENSK010000625.1	47344
JAENSK010000626.1	47336
JAENSK010000576.1	46453
JAENSK010000627.1	45670
JAENSK010000586.1	45339
JAENSK010000628.1	44737
JAENSK010000629.1	44416
JAENSK010000630.1	44091
JAENSK010000452.1	44029
JAENSK010000545.1	43858
JAENSK010000592.1	43833
JAENSK010000631.1	43804
JAENSK010000632.1	43447
JAENSK010000418.1	43198
JAENSK010000001.1	42181
JAENSK010000633.1	41869
JAENSK010000634.1	41187
JAENSK010000635.1	40905
JAENSK010000636.1	40485
JAENSK010000477.1	39716
JAENSK010000478.1	39622
JAENSK010000383.1	39239
JAENSK010000637.1	38749
JAENSK010000033.1	38338
JAENSK010000638.1	38267
JAENSK010000639.1	38098
JAENSK010000593.1	37288
JAENSK010000640.1	37156
JAENSK010000587.1	37135
JAENSK010000594.1	36282
JAENSK010000642.1	36169
JAENSK010000641.1	36049
JAENSK010000597.1	35936
JAENSK010000595.1	35597
JAENSK010000643.1	34455
JAENSK010000644.1	32761
JAENSK010000645.1	32129
JAENSK010000449.1	31960
JAENSK010000646.1	29996
JAENSK010000647.1	29845
JAENSK010000648.1	29612
JAENSK010000479.1	28486
JAENSK010000588.1	28217
JAENSK010000589.1	27687
JAENSK010000295.1	27394
JAENSK010000649.1	27008
JAENSK010000650.1	26690
JAENSK010000651.1	26680
JAENSK010000652.1	25600
JAENSK010000653.1	25356
JAENSK010000654.1	24872
JAENSK010000082.1	24491
JAENSK010000655.1	24165
JAENSK010000294.1	24076
JAENSK010000083.1	23670
JAENSK010000656.1	23651
JAENSK010000657.1	22200
JAENSK010000658.1	20719
JAENSK010000659.1	20625
JAENSK010000660.1	20391
JAENSK010000661.1	20277
JAENSK010000662.1	17176
JAENSK010000663.1	16695
JAENSK010000664.1	15631
JAENSK010000665.1	13796
JAENSK010000666.1	9587
JAENSK010000667.1	9004
JAENSK010000668.1	5394
JAENSK010000669.1	4183
JAENSK010000670.1	3676
JAENSK010000671.1	3291
JAENSK010000672.1	2948
JAENSK010000673.1	2415
JAENSK010000674.1	2044
JAENSK010000675.1	1713
JAENSK010000676.1	1437
