JAENSK010000532.1	102867
MU179259.1	105159
JAENSK010000547.1	121826
JAENSK010000484.1	122554
JAENSK010000462.1	123103
32	125424
JAENSK010000584.1	132137
MU179264.1	135931
MU179276.1	145889
JAENSK010000461.1	147375
MU179269.1	157377
37	157853
39	177356
MU179266.1	179921
JAENSK010000459.1	183934
JAENSK010000538.1	184108
MU179274.1	219221
MU179258.1	236755
MU179278.1	239848
MU179263.1	244274
MU179261.1	259507
MU179273.1	279492
36	358375
MU179272.1	447004
35	554126
38	667312
29	726478
30	755666
31	2457334
16	2706039
25	3067737
34	3469343
33	3839931
22	4686657
27	5228753
26	5349051
28	5437364
23	6253421
24	6478339
21	6970754
W	9109940
19	10455293
17	11092391
18	11623896
15	12703657
20	14265659
14	15331188
13	17905061
11	19638187
12	20119077
10	20453248
9	23733309
8	29578256
6	36220557
7	36382834
5	59506338
Z	86044486
4	90861225
3	110642502
2	149539284
1	196449156
